日時,現地気圧(hPa),海面気圧(hPa),降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),降雪量(cm),積雪量(cm),天気,視程(km),スタジアム名,都道府県,屋内外
2025-03-25 24,998.6,1004.9,--,16.5,8.0,10.7,57,2.2,南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 1,998.6,1004.9,--,16.4,7.4,10.3,55,1.5,西南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 2,999.1,1005.4,--,17.9,6.1,9.4,46,4.2,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 3,999.1,1005.4,--,17.8,7.0,10.0,49,5.1,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 4,999.9,1006.2,--,17.1,8.3,10.9,56,3.1,南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 5,1000.6,1007.0,--,16.2,8.7,11.2,61,2.2,北北西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 6,1001.3,1007.7,--,15.2,8.0,10.7,62,1.6,北北西,,0.00,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 7,1002.1,1008.5,--,14.3,7.8,10.6,65,3.5,北北東,0.0,0.13,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 8,1002.9,1009.3,--,15.1,8.1,10.8,63,2.2,北北東,1.0,0.75,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 9,1003.4,1009.7,--,18.6,8.0,10.7,50,1.7,北東,1.0,1.52,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 10,1003.7,1010.0,--,20.0,5.7,9.1,39,2.4,北,1.0,2.20,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 11,1003.4,1009.6,--,22.1,6.8,9.8,37,2.2,南南西,1.0,2.68,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 12,1003.1,1009.3,--,22.9,5.4,8.9,32,4.7,南西,1.0,2.99,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 13,1002.3,1008.5,--,23.5,5.0,8.7,30,4.5,南西,1.0,2.99,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 14,1001.9,1008.1,--,23.2,5.6,9.1,32,4.3,南西,1.0,2.82,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 15,1001.7,1007.9,--,23.5,6.8,9.8,34,3.3,南南西,1.0,2.42,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 16,1001.6,1007.8,--,23.8,7.4,10.3,35,2.6,南西,1.0,1.79,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 17,1001.4,1007.6,--,23.4,5.3,8.9,31,2.5,西,1.0,1.09,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 18,1001.6,1007.8,--,22.4,6.6,9.8,36,2.5,西南西,0.7,0.40,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 19,1001.7,1007.9,--,21.9,8.1,10.8,41,1.8,南西,0.0,0.03,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 20,1002.4,1008.7,--,20.4,8.1,10.8,45,1.1,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 21,1002.9,1009.2,--,19.1,9.0,11.5,52,3.0,南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 22,1002.5,1008.8,--,18.7,9.8,12.1,56,1.0,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 23,1002.6,1008.9,--,17.5,8.1,10.8,54,4.1,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-26 24,1002.4,1008.7,--,16.9,8.1,10.8,56,4.1,北北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 1,1003.0,1009.4,--,16.0,8.3,10.9,60,3.0,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 2,1002.9,1009.3,--,16.1,8.3,11.0,60,1.4,北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 3,1002.1,1008.5,--,15.4,8.6,11.2,64,2.3,北北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 4,1001.4,1007.8,--,14.8,8.5,11.1,66,2.6,北北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 5,1001.3,1007.7,--,14.3,8.7,11.2,69,2.8,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 6,1001.4,1007.8,--,14.3,8.9,11.4,70,2.6,北,,0.00,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 7,1001.4,1007.8,--,14.8,9.2,11.6,69,0.9,北東,0.0,0.09,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 8,1001.2,1007.6,--,15.8,9.9,12.2,68,1.1,南,0.0,0.24,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 9,1000.8,1007.1,--,17.4,10.1,12.3,62,0.6,南南西,0.0,0.47,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 10,1000.6,1006.9,--,18.6,11.2,13.3,62,1.3,西,0.0,0.52,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 11,1000.1,1006.4,--,19.4,12.2,14.2,63,0.9,南西,0.0,0.44,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 12,999.7,1006.0,0.0,19.2,12.7,14.7,66,2.6,南南西,0.0,0.61,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 13,998.5,1004.8,0.0,19.7,13.6,15.6,68,2.0,西,0.0,0.52,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 14,997.6,1003.8,--,19.9,14.1,16.0,69,2.0,南西,0.0,0.63,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 15,997.0,1003.3,--,19.6,14.4,16.4,72,7.7,南南西,0.0,0.41,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 16,996.6,1002.9,0.0,19.0,14.5,16.5,75,6.0,南西,0.0,0.19,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 17,997.0,1003.3,0.0,18.6,14.3,16.3,76,6.5,南西,0.0,0.05,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 18,996.5,1002.8,0.0,18.2,14.5,16.5,79,6.7,南西,0.0,0.01,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 19,996.3,1002.6,5.0,17.7,15.2,17.2,85,6.6,南南西,0.0,0.00,--,--,雷電,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 20,996.3,1002.6,6.5,17.9,15.5,17.6,86,7.1,南南西,,,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 21,995.3,1001.6,1.5,17.8,15.4,17.5,86,2.1,南,,,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 22,994.6,1000.9,6.0,17.3,15.3,17.4,88,0.9,南西,,,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 23,993.2,999.5,4.5,17.0,15.4,17.4,90,0.8,北北西,,,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-27 24,993.6,999.9,9.5,17.3,15.7,17.8,90,0.9,北西,,,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 1,993.7,1000.0,6.0,17.4,15.9,18.1,91,2.2,北東,,,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 2,994.3,1000.6,0.0,17.4,15.8,17.9,90,1.1,東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 3,994.8,1001.1,--,17.3,15.8,18.0,91,1.0,北西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 4,997.2,1003.5,--,16.6,13.7,15.7,83,3.9,北北西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 5,997.8,1004.2,--,15.3,9.0,11.5,66,8.1,北北西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 6,998.2,1004.6,--,14.7,7.7,10.5,63,4.1,北,,0.00,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 7,998.2,1004.6,--,14.6,7.7,10.5,63,1.9,北北東,0.0,0.12,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 8,1000.1,1006.5,--,15.2,7.5,10.4,60,4.9,北,0.2,0.63,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 9,1001.1,1007.5,0.0,15.7,7.5,10.3,58,5.2,北,0.5,1.05,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 10,1002.3,1008.6,--,16.9,7.3,10.2,53,3.2,北北西,0.2,1.16,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 11,1001.9,1008.3,--,16.3,6.4,9.6,52,4.2,北北東,0.2,1.65,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 12,1001.2,1007.6,0.0,16.4,7.1,10.1,54,3.4,北,0.0,0.88,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 13,1000.1,1006.5,0.0,15.8,6.3,9.5,53,3.9,北北東,0.0,0.56,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 14,1000.9,1007.3,--,15.7,6.4,9.6,54,6.1,北北西,0.0,0.45,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 15,1001.6,1008.0,--,15.3,5.8,9.2,53,5.9,北,0.0,0.39,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 16,1002.4,1008.8,--,14.5,5.9,9.2,56,4.7,北,0.0,0.13,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 17,1003.4,1009.8,--,14.0,4.9,8.6,54,6.5,北,0.0,0.17,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 18,1004.7,1011.2,--,12.6,3.3,7.7,53,5.1,北,0.0,0.14,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 19,1005.3,1011.8,--,12.4,3.1,7.6,53,3.9,北北東,0.0,0.01,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 20,1006.3,1012.8,--,12.0,3.5,7.9,56,5.8,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 21,1007.2,1013.7,--,11.6,2.6,7.4,54,6.6,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 22,1008.6,1015.1,--,11.4,3.0,7.5,56,4.6,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 23,1009.3,1015.8,--,10.6,2.9,7.5,59,7.6,北北西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-28 24,1009.2,1015.8,--,10.1,2.0,7.0,57,6.7,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 1,1010.4,1017.0,0.0,9.7,2.1,7.1,59,6.9,北,,,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 2,1010.6,1017.2,0.0,9.3,1.9,7.0,60,4.7,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 3,1010.2,1016.8,--,9.1,1.3,6.7,58,3.7,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 4,1010.5,1017.1,--,8.9,0.6,6.4,56,4.3,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 5,1010.5,1017.1,--,8.8,-0.5,5.9,52,3.3,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 6,1011.3,1017.9,--,8.4,-1.7,5.4,49,3.3,北,,0.00,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 7,1011.7,1018.3,--,8.0,-1.8,5.4,50,2.8,北,0.2,0.12,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 8,1012.8,1019.4,--,8.7,-2.0,5.3,47,3.7,北北東,0.9,0.84,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 9,1013.0,1019.6,--,9.7,-2.6,5.1,42,4.3,北北東,1.0,1.66,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 10,1012.9,1019.4,--,12.1,-2.5,5.1,36,3.5,北北東,1.0,2.31,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 11,1012.8,1019.3,--,13.0,-6.0,3.9,26,2.5,北,0.9,2.74,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 12,1012.1,1018.6,--,12.8,-6.2,3.8,26,1.1,東南東,0.2,1.49,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 13,1011.7,1018.2,--,12.9,-6.1,3.9,26,2.9,南南西,0.0,0.96,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 14,1011.7,1018.2,0.0,12.7,-4.0,4.6,31,5.5,西,0.0,0.81,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 15,1011.0,1017.5,0.0,12.5,-3.3,4.8,33,3.2,北,0.3,1.28,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 16,1011.7,1018.2,--,12.3,-2.7,5.0,35,2.8,南西,0.0,0.61,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 17,1011.9,1018.4,--,12.6,-6.9,3.6,25,6.1,西北西,0.0,0.51,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 18,1012.2,1018.7,--,11.9,-9.1,3.1,22,6.0,西北西,0.0,0.29,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 19,1012.6,1019.1,--,11.5,-10.7,2.7,20,5.9,西北西,0.0,0.02,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 20,1013.1,1019.7,--,10.9,-9.4,3.0,23,3.6,西北西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 21,1014.0,1020.6,--,10.5,-8.7,3.2,25,2.7,北西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 22,1014.7,1021.3,--,9.9,-7.3,3.5,29,3.6,西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 23,1015.1,1021.7,--,9.7,-7.0,3.6,30,2.5,西南西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-29 24,1015.2,1021.8,--,9.6,-6.7,3.7,31,4.4,南南西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 1,1015.2,1021.8,--,9.4,-5.3,4.1,35,3.4,西北西,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 2,1015.6,1022.3,0.0,7.9,-1.1,5.6,53,5.5,北北西,,,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 3,1016.2,1022.9,0.0,7.5,-2.0,5.3,51,5.5,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 4,1017.2,1023.9,--,6.9,-2.8,5.0,50,4.2,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 5,1018.0,1024.7,--,6.4,-4.4,4.4,46,6.2,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 6,1018.6,1025.3,--,6.6,-7.4,3.5,36,7.6,北,,0.00,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 7,1019.4,1026.1,--,6.5,-8.6,3.2,33,5.1,北,0.0,0.14,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 8,1019.9,1026.6,--,6.5,-9.0,3.1,32,8.5,北北西,0.6,0.68,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 9,1020.2,1026.9,--,7.4,-9.0,3.1,30,7.2,北北西,0.6,1.32,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 10,1020.3,1027.0,--,7.5,-9.8,2.9,28,5.1,北,0.6,1.75,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 11,1020.6,1027.3,--,8.6,-7.6,3.5,31,7.0,北北西,0.7,2.56,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 12,1020.2,1026.9,--,8.9,-6.1,3.9,34,8.5,北北西,0.7,2.68,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 13,1019.7,1026.3,--,9.3,-6.5,3.7,32,4.9,北北西,0.8,2.72,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 14,1019.7,1026.4,0.0,9.1,-4.1,4.5,39,5.1,北北西,0.5,1.93,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 15,1019.7,1026.4,0.0,8.4,-4.1,4.5,41,5.6,北北東,0.6,2.04,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 16,1019.7,1026.4,0.0,8.1,-4.3,4.4,41,6.6,北,0.5,1.36,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 17,1020.0,1026.7,0.0,7.5,-5.2,4.1,40,5.5,北,0.3,0.81,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 18,1020.4,1027.1,--,6.3,-6.3,3.8,40,5.7,北北東,0.0,0.27,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 19,1020.8,1027.6,--,5.6,-6.6,3.7,41,5.4,北北東,0.0,0.02,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 20,1021.4,1028.2,--,5.3,-5.4,4.1,46,4.5,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 21,1021.8,1028.6,--,5.1,-5.5,4.0,46,4.4,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 22,1022.1,1028.9,--,4.9,-5.2,4.2,48,3.4,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 23,1021.9,1028.7,--,4.5,-4.7,4.3,51,3.0,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-30 24,1021.7,1028.5,--,4.2,-4.5,4.4,53,2.9,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
